date,net_revenue,gross_revenue,transactions,new_customers,refund_amount,failed_payments,chargebacks,marketing_spend,enterprise_invoice_amount,payment_gateway_latency_ms,etl_delay_minutes,rolling_anomaly_score,isolation_score,explanation_category,severity,top_reasons,recommended_action,known_cause
2024-02-01,65743.09526715234,66586.00101690867,649,67,842.9057497563265,42,3,1070.2824058438546,0.0,239.92838619382235,12,3.047016366430004,0.03896416928762453,Unclear anomaly - needs analyst review,Medium,"Detected by multivariate pattern, but no single obvious metric explains it","Review revenue, payments, refunds, and data pipeline logs.",Normal business day
2024-02-14,88424.36754575299,90472.52634646639,1055,334,2048.1588007133964,40,3,45182.54663578905,0.0,323.49999133393,7,4.600952845228765,-0.09966058495793162,Campaign-driven spike,High,Revenue is 54% above 7-day average; Marketing spend and new customers are unusually high,Validate campaign calendar and calculate campaign ROI.,Valentine promotion drove unusually high new subscriptions
2024-03-31,135665.28954972728,136197.08709208216,621,58,531.7975423548904,37,4,1190.3489496700981,85000.0,265.50838406299596,5,5.181774665948339,-0.15583127986712697,Legitimate revenue spike,High,Revenue is 105% above 7-day average; Large enterprise invoice booked,Confirm invoice in billing system and exclude from recurring revenue anomaly alerts if expected.,Quarter-end enterprise invoice booked
2024-05-09,12533.009059274209,14018.727187317993,190,81,1485.7181280437837,512,9,1650.7212156425294,0.0,1764.3558723361189,7,-4.642019263658764,-0.19511356835520766,Possible fraud / disputed payments,High,Revenue is 75% below 7-day average; Failed payments or payment latency are unusually high; Refund amount or refund rate is unusually high; Chargebacks are unusually high,Send cases to fraud/risk team and inspect customer/payment fingerprints.,Payment gateway outage caused failed payments and revenue drop
2024-07-04,30705.492096837846,31620.251636453155,381,38,914.759539615309,30,3,8873.811448911565,0.0,201.64782058932465,6,-3.9356588968172472,-0.00636820664173765,Unclear anomaly - needs analyst review,High,Revenue is 44% below 7-day average,"Review revenue, payments, refunds, and data pipeline logs.",Holiday demand slowdown
2024-09-16,120742.1990052031,122973.4256867753,664,90,2231.226681572189,43,2,758.4817464806542,0.0,207.20143247954363,191,4.985529380379698,-0.08921391368255494,Data pipeline / duplicate load issue,High,Revenue is 85% above 7-day average; ETL delay is unusually high during abnormal revenue movement,"Check orchestration logs, duplicate transactions, and table refresh history.",Duplicate billing / ETL duplicate load issue
2024-11-29,132656.18639303077,132999.25522368433,1469,489,343.0688306535669,37,5,68667.92311357599,0.0,201.48847180277843,7,5.177315826110739,-0.189505919552019,Campaign-driven spike,High,Revenue is 94% above 7-day average; Marketing spend and new customers are unusually high; Discount rate is unusually high,Confirm pricing campaign and evaluate margin impact.,Black Friday campaign revenue spike
2024-11-30,56543.69006696582,57150.75791901356,583,70,607.0678520477368,27,1,2239.7447011381787,0.0,144.21935209597788,7,-0.31946452603042325,-0.021542273098201115,Unclear anomaly - needs analyst review,Medium,"Detected by multivariate pattern, but no single obvious metric explains it","Review revenue, payments, refunds, and data pipeline logs.",Normal business day
2024-12-02,59845.97733895151,65722.367705518,728,81,5876.390366566494,33,3,2685.67672580249,0.0,329.4810376707094,5,-0.06189732372332362,-0.006425529816309505,Refund spike / revenue reversal,Medium,Failed payments or payment latency are unusually high; Refund amount or refund rate is unusually high,"Review refund batch, support tickets, and refund approval workflow.",Normal business day
2025-01-02,0.0,16077.153831170508,603,70,55795.70253395879,34,2,3027.7988999519384,0.0,311.34338625518086,9,-5.05444615604458,-0.139715487302021,Refund spike / revenue reversal,High,Revenue is 100% below 7-day average; Refund amount or refund rate is unusually high,"Review refund batch, support tickets, and refund approval workflow.",Refund processing backlog released after holidays
2025-03-15,101537.11214144368,103614.05879869117,1258,75,2076.9466572474907,28,85,1222.497490313865,0.0,192.317864464289,11,4.633731590347171,-0.15131344103942168,Possible fraud / disputed payments,High,Revenue is 54% above 7-day average; Chargebacks are unusually high,Send cases to fraud/risk team and inspect customer/payment fingerprints.,Suspicious fraud-like payment burst
2025-04-30,59333.15710976467,59865.54733339061,644,58,532.3902236259422,26,2,12213.604930608733,0.0,194.19551897783867,16,-0.21635061373560338,-0.012781114407735772,Unclear anomaly - needs analyst review,Medium,"Detected by multivariate pattern, but no single obvious metric explains it","Review revenue, payments, refunds, and data pipeline logs.",Normal business day
2025-05-03,68204.9121397562,68255.66764111568,773,76,50.75550135947995,33,0,2844.0785058915876,0.0,170.98028879455933,8,2.003359966508097,-0.026222904061966035,Unclear anomaly - needs analyst review,Medium,"Detected by multivariate pattern, but no single obvious metric explains it","Review revenue, payments, refunds, and data pipeline logs.",Normal business day
2025-05-30,27401.789711107813,29150.871685827653,416,81,1749.0819747198384,421,5,4544.701940798286,0.0,226.59480173043215,154,-4.540455465192729,-0.1379997032493846,Data pipeline / duplicate load issue,High,Revenue is 50% below 7-day average; Failed payments or payment latency are unusually high; Chargebacks are unusually high; ETL delay is unusually high during abnormal revenue movement,"Check orchestration logs, duplicate transactions, and table refresh history.",Subscription renewal job failed for part of customer base
2025-05-31,57763.028602369195,59107.51231826814,561,83,1344.4837158989483,38,2,1225.019244106263,0.0,299.1898093565454,10,-0.22780007170587233,-0.004297462003049146,Unclear anomaly - needs analyst review,Medium,"Detected by multivariate pattern, but no single obvious metric explains it","Review revenue, payments, refunds, and data pipeline logs.",Normal business day
